lcbm,lcdm,lcyn
列车编码,列车代码,列车运量
574,1266,#N/A
575,1486,1346
594,1646,#N/A
572,1718,1520
665,1914,#N/A
22,3021,2582
3,3022,2596
534,3056,3360
686,3126,3200
51,3147,1658
52,3148,3152
279,3195,#N/A
280,3196,3112
476,3218,2744
595,3236,2492
591,3248,2580
501,3255,1942
687,3258,3035
361,3277,1788
362,3278,1692
502,3305,1487
128,3307,#N/A
576,3308,3317
734,3311,1320
522,3338,3157
87,3349,1251
88,3350,2254
471,3352,1260
661,3405,2294
605,3434,2734
457,3496,2740
523,3516,3317
372,3541,#N/A
237,3542,2296
688,3564,2816
550,3573,451
373,3587,3002
374,3588,3001
524,3600,2664
34,3603,2560
35,3604,2650
689,3634,3102
468,3645,2414
53,3646,2652
25,3663,1256
690,3674,1852
54,3707,3152
55,3708,3002
737,3738,2498
56,3773,1713
520,3802,825
238,3804,1880
57,3805,2077
58,3806,2960
738,3808,2860
606,3836,2392
239,3840,#N/A
472,3841,1658
89,3842,#N/A
26,3855,3191
27,3856,3440
691,3874,2434
607,3906,2879
774,6003,2494
758,6061,2112
692,6066,1278
759,6161,1352
253,C6301,684
254,C6302,703
255,C6303,704
256,C6304,684
257,C6305,684
258,C6306,704
259,C6307,684
260,C6308,684
261,C6309,685
262,C6310,688
263,C6311,685
264,C6312,685
265,C6314,685
266,C6315,546
267,C6316,546
268,C6317,546
269,C6318,546
278,C6319,1092
270,C6324,100
271,C6325,60
272,C6326,71
273,C6362,684
274,C6363,684
105,D211,698
106,D212,694
281,D2201,694
129,D2202,698
130,D2207,#N/A
131,D2208,1463
503,D2214,1463
504,D2218,1463
282,D2223,#N/A
132,D2224,1463
608,D2228,698
609,D2234,698
133,D2237,#N/A
134,D2238,1396
135,D2243,#N/A
136,D2244,1395
610,D2248,1463
611,D2252,657
137,D2255,689
138,D2256,686
139,D2259,676
140,D2260,657
141,D2263,#N/A
142,D2264,1463
612,D2266,698
637,D2272,698
613,D2278,698
107,D2801,698
411,D2802,630
108,D2804,694
109,D2805,698
110,D2806,694
111,D2807,698
112,D2808,694
113,D2809,698
114,D2810,694
115,D2811,698
116,D2813,698
117,D2814,694
118,D2815,698
119,D2816,694
120,D2817,698
121,D2818,694
122,D2819,698
123,D2820,694
412,D2821,698
413,D2822,694
414,D2823,698
415,D2824,694
416,D2825,698
417,D2826,694
418,D2827,1396
419,D2828,1388
420,D2829,698
421,D2830,694
422,D2851,698
423,D2852,694
424,D2853,698
425,D2854,694
426,D2855,698
427,D2856,694
428,D2857,698
429,D2858,694
430,D2859,698
431,D2860,694
432,D2861,698
433,D2862,694
434,D2863,698
435,D2864,694
722,D3521,556
723,D3523,698
724,D3525,698
725,D3527,698
726,D3529,698
143,D353,#N/A
144,D354,836
727,D3551,698
728,D3553,698
145,D367,#N/A
146,D368,686
614,D4058,694
436,D4501,554
437,D4502,556
438,D4503,554
439,D4504,556
440,D4505,554
441,D4506,556
442,D4507,554
443,D4508,556
444,D4509,556
445,D4510,556
446,D4511,556
447,D4512,556
615,D4526,876
473,D4551,698
448,D4552,694
449,D4554,#N/A
729,D4561,698
450,D4651,698
451,D4652,694
147,D5101,1378
148,D5102,1418
149,D5103,1378
150,D5104,1418
151,D5105,1418
152,D5106,1418
153,D5107,1418
154,D5108,1378
283,D5109,1418
155,D5110,1418
156,D5111,1418
157,D5112,1418
464,D5113,1418
158,D5114,1418
159,D5115,1418
160,D5116,1418
161,D5117,1418
162,D5118,1418
163,D5119,1418
164,D5120,1418
165,D5121,1418
166,D5122,1418
167,D5123,1418
168,D5124,1418
169,D5125,1418
170,D5126,1418
171,D5127,1378
172,D5128,1418
465,D5129,1378
173,D5130,1418
174,D5131,1378
175,D5132,1418
284,D5133,1378
176,D5134,688
177,D5135,1378
178,D5136,688
179,D5137,1378
180,D5138,1094
181,D5139,688
182,D5140,1094
183,D5145,1094
184,D5146,1092
185,D5147,1059
186,D5148,546
187,D5149,546
188,D5150,546
189,D5157,688
541,D5401,716
505,D5403,716
495,D5405,554
496,D5411,696
506,D5412,696
544,D5417,696
545,D5418,696
190,D6122,688
191,D6123,700
192,D6124,700
193,D6126,1378
194,D6127,688
195,D6131,546
196,D6132,546
197,D6133,1059
198,D6134,1059
285,D6135,1378
199,D6136,1380
200,D6137,1208
201,D6138,1208
286,D6139,700
202,D6140,709
287,D6147,1094
203,D6149,688
204,D6150,688
205,D6151,1378
206,D6152,1378
288,D6165,546
207,D6166,546
208,D6169,1378
209,D6170,1378
210,D6171,686
211,D6172,688
289,D6173,1059
212,D6177,688
213,D6178,681
214,D6179,700
215,D6180,700
596,D628,#N/A
216,D633,#N/A
217,D634,683
218,D637,#N/A
219,D638,698
739,D658,696
466,D67,#N/A
220,D8529,1416
470,D915,#N/A
616,G1314,556
221,G1317,#N/A
222,G1318,556
389,G1321,556
390,G1322,556
391,G1323,556
392,G1324,556
393,G1325,556
394,G1326,1005
395,G1327,556
396,G1328,556
397,G1329,1005
398,G1330,556
399,G1360,#N/A
497,G1484,556
640,G1512,556
638,G1522,556
639,G1524,1061
635,G1532,556
636,G1534,1061
641,G1686,556
642,G2102,556
643,G2104,556
644,G2106,556
645,G2108,556
400,G2302,1112
646,G2304,1112
647,G2308,556
648,G2334,556
498,G2336,556
649,G2364,1112
452,G2917,606
453,G2918,585
650,G3002,556
651,G3004,527
652,G3006,556
653,G3008,556
654,G3010,556
655,G3012,556
656,G3014,#N/A
21,G307,1061
15,G308,1061
36,G309,1061
37,G310,1061
290,G313,#N/A
223,G314,556
507,G316,960
379,G401,556
380,G402,1028
381,G403,556
382,G404,480
383,G442,#N/A
546,G4832,997
401,G4833,1005
402,G4834,1005
403,G4835,1005
404,G4836,1005
499,G4838,1112
547,G4840,#N/A
405,G4913,556
406,G4914,554
384,G81,1028
385,G82,556
291,G8501,1106
292,G8502,1106
293,G8503,1106
294,G8504,552
295,G8505,1106
296,G8506,1106
297,G8507,1106
298,G8508,1106
299,G8509,1106
300,G8510,1106
301,G8511,1106
302,G8512,1106
303,G8513,552
304,G8514,1106
305,G8515,1106
306,G8516,1106
307,G8517,1106
308,G8518,1106
309,G8519,1106
310,G8520,1106
311,G8521,1106
312,G8522,552
313,G8523,1106
314,G8524,1106
315,G8525,1106
316,G8526,1106
317,G8527,552
318,G8528,1106
319,G8529,1106
320,G8530,1106
321,G8531,1106
322,G8532,1106
323,G8533,1106
324,G8534,552
325,G8535,1106
326,G8536,1106
327,G8537,1106
328,G8538,1106
329,G8539,552
330,G8540,1106
331,G8541,1106
332,G8542,1106
333,G8543,1106
334,G8544,1106
335,G8545,552
336,G8546,1106
337,G8547,1106
338,G8548,1106
339,G8549,1106
340,G8550,1106
341,G8551,1106
342,G8552,552
343,G8553,1106
344,G8554,1106
345,G8555,1106
346,G8556,1106
347,G8557,1106
348,G8558,1106
349,G8560,1106
350,G8561,552
351,G8562,552
693,K1004,1842
740,K1022,#N/A
694,K1034,1696
617,K1048,#N/A
760,K1049,#N/A
597,K1064,1653
676,K1076,#N/A
542,K1077,1872
741,K1094,1563
742,K1098,1494
90,K111,1475
91,K112,1770
761,K113,1210
762,K1139,1482
508,K1154,1525
509,K1158,1783
14,K117,1453
695,K1174,1680
7,K118,1327
618,K1196,#N/A
510,K1202,1676
598,K1212,1878
570,K1222,#N/A
30,K1223,1266
31,K1224,1535
525,K1247,2110
240,K1248,2118
241,K1250,#N/A
92,K1252,#N/A
743,K1258,1442
744,K1270,1666
526,K1272,#N/A
657,K1342,1848
5,K1363,1548
6,K1364,1423
224,K140,#N/A
731,K141,#N/A
352,K143,#N/A
462,K144,1326
763,K145,1349
275,K1501,#N/A
577,K1536,2007
673,K1574,1340
696,K1582,1725
242,K159,990
599,K16,1519
243,K160,1110
573,K1616,1599
276,K165,1244
277,K166,1623
244,K167,1751
245,K168,1736
59,K191,#N/A
353,K193,#N/A
671,K196,1635
60,K201,1779
61,K202,1837
666,K2038,#N/A
535,K2056,#N/A
662,K2058,1719
600,K206,1468
619,K2060,1331
592,K2066,#N/A
697,K2120,#N/A
745,K2202,#N/A
698,K2232,#N/A
699,K2322,#N/A
620,K2332,#N/A
500,K246,1504
481,K258,1635
677,K2678,#N/A
601,K284,1515
578,K292,1737
660,K335,1662
28,K351,1432
29,K352,1629
746,K358,2017
747,K3806,732
748,K3808,2026
579,K386,1577
678,K390,1274
4,K4033,2482
700,K4066,3077
32,K4075,2596
365,K4076,2636
62,K4123,2591
63,K4124,2596
679,K4140,3121
93,K4177,1266
94,K4178,2720
749,K4182,#N/A
95,K4197,1132
96,K4198,2412
543,K421,#N/A
16,K4217,2544
12,K4218,2634
10,K4229,2340
8,K4230,2454
701,K4234,2697
702,K424,1574
407,K4249,1377
408,K4250,2448
511,K427,#N/A
24,K4277,1668
9,K4278,1092
13,K4293,2410
363,K4294,2442
658,K4296,1245
38,K4301,2384
39,K4302,2474
735,K4311,1584
703,K4322,3288
704,K4331,#N/A
705,K4332,3102
580,K4348,1896
561,K4373,#N/A
663,K4389,2740
40,K4401,#N/A
548,K4402,2166
409,K4417,2507
410,K4418,2545
246,K4496,2799
64,K4511,2422
65,K4512,2428
568,K4525,2576
621,K4536,2888
622,K4542,2148
706,K4572,2630
469,K4587,836
66,K4588,2576
512,K4618,3262
527,K4620,3600
375,K4645,2545
376,K4646,2507
77,K471,1606
78,K472,1591
386,K473,2024
707,K4734,2922
387,K474,1933
764,K4745,#N/A
732,K4791,1452
750,K4806,2520
67,K485,#N/A
124,K486,827
225,K487,#N/A
252,K488,1573
484,K4902,1960
708,K4914,1392
709,K4920,1638
97,K495,1266
98,K496,1400
710,K4968,3042
536,K4978,3042
354,K503,#N/A
226,K504,1448
41,K507,1392
42,K508,1334
528,K530,1644
529,K540,1350
711,K542,1725
712,K570,#N/A
227,K577,1009
632,K578,1511
68,K585,#N/A
33,K587,#N/A
571,K588,2006
43,K589,1753
44,K590,1635
581,K6,1577
45,K619,1864
46,K620,1726
228,K651,757
730,K652,1140
680,K664,1311
765,K671,1251
766,K673,#N/A
513,K678,1994
69,K687,1500
70,K688,1001
674,K690,1386
668,K693,#N/A
514,K698,1889
515,K724,1500
99,K739,992
100,K740,1574
602,K746,#N/A
71,K775,1954
72,K776,2077
667,K788,1326
101,K79,1485
102,K80,1567
681,K806,1500
551,K812,#N/A
73,K813,1648
74,K814,805
17,K817,1550
19,K818,1525
47,K819,1550
48,K820,1509
125,K827,1107
126,K828,#N/A
103,K833,1478
104,K834,#N/A
75,K835,1496
76,K836,953
454,K841,1669
127,K842,3704
767,K853,1354
582,K870,1860
736,K871,1064
247,K872,1027
583,K880,1671
603,K910,1682
355,K9401,2812
356,K9402,1832
248,K9407,2210
458,K9408,2210
474,K9410,3035
357,K9447,2516
229,K9450,958
358,K9451,1280
230,K9453,1260
231,K9454,1260
232,K9457,3030
233,K9458,1625
234,K9469,#N/A
249,K9515,2582
475,K9516,2550
250,K9517,1858
251,K9518,1941
459,K9520,3360
460,K9524,2365
235,K9549,728
467,K9551,2114
236,K9552,2114
623,K962,1762
672,K998,1146
516,L1018,#N/A
485,L102,#N/A
624,L1034,#N/A
682,L1038,#N/A
584,L1120,#N/A
713,L1132,#N/A
751,L1138,#N/A
714,L1148,#N/A
715,L1162,#N/A
629,L122,#N/A
562,L1221,#N/A
552,L123,#N/A
752,L1234,#N/A
585,L126,#N/A
753,L1262,#N/A
530,L1620,#N/A
593,L1651,#N/A
486,L18,#N/A
586,L196,#N/A
487,L20,#N/A
531,L200,#N/A
754,L2056,#N/A
553,L211,#N/A
587,L2132,#N/A
588,L2133,#N/A
755,L2156,#N/A
589,L218,#N/A
488,L22,#N/A
477,L2226,#N/A
756,L2262,#N/A
489,L228,#N/A
517,L236,#N/A
670,L258,#N/A
364,L26,#N/A
768,L267,#N/A
478,L278,#N/A
490,L34,#N/A
569,L356,#N/A
716,L364,#N/A
491,L376,#N/A
664,L389,#N/A
492,L394,#N/A
625,L40,#N/A
604,L408,#N/A
537,L498,#N/A
563,L5,#N/A
669,L505,#N/A
455,L508,#N/A
564,L525,#N/A
717,L550,#N/A
630,L556,#N/A
626,L557,#N/A
659,L558,#N/A
718,L572,#N/A
479,L604,#N/A
554,L607,#N/A
532,L620,#N/A
590,L646,#N/A
549,L661,#N/A
769,L683,#N/A
719,L696,#N/A
565,L705,#N/A
456,L72,#N/A
555,L73,#N/A
757,L738,#N/A
377,L741,#N/A
770,L745,#N/A
771,L747,#N/A
556,L75,#N/A
772,L775,#N/A
533,L778,#N/A
733,L791,#N/A
463,L794,#N/A
378,L795,#N/A
566,L8,#N/A
538,L842,#N/A
539,L856,#N/A
567,L87,#N/A
720,L874,#N/A
721,L914,#N/A
493,L92,#N/A
359,L935,#N/A
633,L938,#N/A
557,L945,#N/A
631,L955,#N/A
540,L96,#N/A
521,L966,#N/A
482,L973,#N/A
675,L976,#N/A
518,L995,#N/A
461,N748,#N/A
49,T10,1587
683,T126,1773
494,T150,#N/A
684,T248,1432
627,T252,#N/A
628,T258,1667
685,T294,#N/A
483,T58,#N/A
20,T7,1566
23,T8,1522
388,T88,#N/A
50,T9,1569
366,Y102,#N/A
360,Y115,#N/A
558,Y118,#N/A
559,Y132,#N/A
560,Y133,#N/A
634,Y136,#N/A
367,Y152,#N/A
480,Y153,#N/A
773,Y205,#N/A
519,Z124,891
79,Z149,1119
80,Z150,1131
81,Z161,1503
82,Z162,1460
370,Z257,532
371,Z258,714
368,Z3,1858
369,Z4,#N/A
18,Z49,874
11,Z50,957
83,Z53,1424
84,Z54,1423
85,Z77,1444
86,Z78,1461
1,Z95,1683
2,Z96,1577
